,x,y,CORE-TSO_country,CORE-TSO_tso,OSM_id,OSM_type,OSM_name,OSM_country,OSM_voltage,OSM_operator,OSM_alt_name,Comments
GAUDIERE (LA),2.677401396763853,43.24104518562612,FR,RTE,98890904.0,Polygon,Poste électrique de La Gaudière,FR,400000;225000,RTE,,
VIGY,6.276941809559781,49.19774007233576,FR,RTE,81641090.0,Polygon,Poste électrique de Vigy,FR,400000;225000,RTE,,
ARRIGHI,2.414612897623849,48.78569553663022,FR,RTE,46172440.0,Polygon,Arrighi,FR,225000;63000,RTE,,
VANDIERES,6.022081281632252,48.95083450859975,FR,RTE,147398279.0,Polygon,Poste électrique de Vandières,FR,225000,RTE,,
BRENNILIS,-3.867477810366308,48.35461226564442,FR,RTE,105913481.0,Polygon,Poste électrique de Brennilis,FR,225000;63000,RTE,,
FEROUGE,1.466356718847518,44.91564983551041,FR,RTE,139098414.0,Polygon,Ferouge,FR,225000;63000;20000,RTE,,
BARBUISE,3.592072108716258,48.56095686740401,FR,RTE,118387084.0,Polygon,Poste électrique de Barbuise,FR,225000;63000,RTE,,
ESCAILLON (L ),5.891941087949104,43.131947292506126,FR,RTE,405909509.0,Polygon,Escaillon,FR,225000,RTE,,
AUSSOIS,6.712248427196863,45.2147585039496,FR,RTE,146449309.0,Polygon,Poste électrique de Aussois,FR,225000;63000,RTE,,
ENCO-DE-BOTTE,5.480837385421024,43.32087643224695,FR,RTE,118213015.0,Polygon,Enco-de-Botte,FR,225000,RTE,,
CRETAINE,2.3584988854098814,48.79926572472368,FR,RTE,682366052.0,Polygon,Poste électrique de Crétaine,FR,225000,RTE,,
ST ETIENNE DU ROUVRAY,1.1051508175005595,49.36867613362774,FR,RTE,35171597.0,Polygon,Poste électrique de Saint-Étienne-du-Rouvray,FR,225000,RTE,,
BREUIL (LE),2.214151787803937,45.24627070286667,FR,RTE,82306874.0,Polygon,Poste électrique de Le Breuil,FR,400000;225000,RTE,,"Manually corrected. In FR, 2 substations with almost the same official name by RTE. This substation is Le Breuil and not Breuil"
FLEYRIAT,5.209880267366347,46.23238359746084,FR,RTE,122752897.0,Polygon,Poste électrique de Fleyriat,FR,225000;63000,RTE,,
MACON,4.773227923277988,46.288070886909765,FR,RTE,156953619.0,Polygon,Poste électrique de Mâcon,FR,225000;63000,RTE,,
GREZILLAC,-0.2318769264087285,44.81332651720499,FR,RTE,142420422.0,Polygon,Poste électrique de Grézillac,FR,225000;63000;20000,RTE,,
STE-FEYRE,1.92107450387954,46.196708535725485,FR,RTE,138278216.0,Polygon,Poste électrique de Saint-Feyre,FR,225000;90000,RTE,,
DECHY,3.138956741709402,50.36252823298378,FR,RTE,129440971.0,Polygon,Poste électrique de Dechy,FR,150000;225000,RTE,,Duplicated OSM name: 129440971 129440972 
PONT-EVEQUE,4.927894385142143,45.52143301430762,FR,RTE,454932860.0,Polygon,Poste électrique de Pont-Évêque,FR,225000;63000,RTE,,
GARCHIZY,3.084848482583887,47.0312242258973,FR,RTE,142456160.0,Polygon,Poste électrique de Garchizy,FR,225000;63000,RTE,,
CHALON,4.861159191235888,46.76297826395031,FR,RTE,122568639.0,Polygon,Chalon,FR,225000;63000,RTE,,
MARSILLON,-0.595459522044191,43.38588681989828,FR,RTE,111414142.0,Polygon,Poste électrique de Marsillon,FR,400000;225000;63000,RTE,,
DONZENAC,1.5223870721315913,45.2145799456144,FR,RTE,138787590.0,Polygon,Poste électrique de Donzenac,FR,225000;90000,RTE,,
ETUPES,6.847868776808244,47.50738282361748,FR,RTE,89158123.0,Polygon,Poste électrique d’Étupes,FR,225000,RTE,,
SETIER,3.345994851015576,49.843060656824456,FR,RTE,98945703.0,Polygon,Poste électrique de Setier,FR,225000;63000,RTE,,
EYBENS,5.753924021228646,45.15405608233715,FR,RTE,40266681.0,Polygon,Poste électrique de Eybens,FR,225000;63000,RTE,,
LONGEFAN,6.358027002780437,45.28420864740964,FR,RTE,47633664.0,Polygon,Poste électrique de Longefan,FR,250000;150000;63000;42000,RTE,,
TARASCON,1.597398794625105,42.85152169189067,FR,RTE,118400623.0,Polygon,Poste électrique de Tarascon,FR,225000;150000;63000,RTE,,
VILLIERS-LE-BEL,2.4078299391140883,49.01087276737202,FR,RTE,82741335.0,Polygon,Poste électrique de Villiers-le-Bel,FR,225000,RTE,,
PLAN-D ORGON,5.017941674506537,43.82718753588387,FR,RTE,241189382.0,Polygon,Poste électrique du Plan d'Orgon,FR,400000;225000;63000,RTE,,
COLAYRAC,0.5636695063434676,44.22782887236149,FR,RTE,142571672.0,Polygon,Poste électrique de Colayrac,FR,225000;63000,RTE,,
BARNABOS,1.0123451804494543,49.65711145486719,FR,RTE,85710783.0,Polygon,Poste électrique de Barnabos,FR,400000,RTE,,
ALLINGES,6.478891663181518,46.33032515307882,FR,RTE,147580954.0,Polygon,Poste électrique d’Allinges,FR,225000;63000,RTE,,
ST-VICTOR,2.8044044238252783,44.05121202333035,FR,RTE,80719004.0,Polygon,Poste électrique de Saint-Victor,FR,225000;63000,RTE,,
CHAVANOD,6.081190186768357,45.8943070565616,FR,RTE,183182430.0,Polygon,Poste électrique de Chavanod,FR,225000;63000,RTE,,
ONET-LE-CHATEAU,2.6074795015007908,44.387281920692296,FR,RTE,116669781.0,Polygon,Poste électrique d'Onet le Chateau,FR,225000;63000;20000,RTE,,
IZERNORE,5.549946296844648,46.198835219783845,FR,RTE,122755047.0,Polygon,Poste électrique d’Izernore,FR,225000;63000,RTE,,
BEAUREGARD (SAINT-LAURENT-NOUAN),1.5788579946090004,47.71877618028544,FR,RTE,14974823.0,MultiPolygon,Saint Laurent Nouan,FR,400000,RTE,,
ST-CHRISTOL,4.06960035518224,43.70431757950029,FR,RTE,24035563.0,Polygon,Poste électrique de Saint-Christol,FR,225000,RTE,,
SAUCATS,-0.6136875659121412,44.61410792127042,FR,RTE,111456385.0,Polygon,Poste électrique de Saucats,FR,400000;225000;63000,RTE,,
GUEUGNON,4.075916918895093,46.60965909975807,FR,RTE,122923029.0,Polygon,Gueugnon (EGD),FR,225000;63000,RTE,Gueugnon,
DARSE,4.84746550041871,43.4283396615575,FR,RTE,105202875.0,Polygon,Darse,FR,225000,RTE,,
MORBRAS,2.6482418568513992,48.778846986017214,FR,RTE,27266058.0,Polygon,Poste électrique de Morbras,FR,400000;225000,RTE,,Multiple matches
CHARPENAY,4.68992862473872,45.81878305024402,FR,RTE,84452130.0,Polygon,Poste électrique de Charpenay,FR,400000;225000;63000,RTE,,
VALENCIENNES,3.538943382542041,50.37593184538432,FR,RTE,756397226.0,Polygon,Poste électrique de Valenciennes,FR,225000,RTE,,
Martonvasar,18.833194336411143,47.3377517985752,HU,MAVIR,100804905.0,Polygon,Martonvásár 400/220 kV MAVIR alállomás,HU,400000;220000,,,Duplicated OSM name: 100804905 493695109 
Sajoszoged,20.969864222342363,47.94293009073979,HU,MAVIR,155227474.0,Polygon,Sajószöged 400/220/132 kV MAVIR alállomás,HU,400000;220000;132000,MAVIR,,
Dunamenti,18.91569019437143,47.32714136661012,HU,MAVIR,100804921.0,Polygon,Dunamenti 220/132 kV MAVIR alállomás,HU,220000;132000,MAVIR,,
Heviz,17.170136160350594,46.79109228568549,HU,MAVIR,96705565.0,Polygon,Hévíz 400/132 kV MAVIR alállomás,HU,400000;132000,MAVIR,,
Pecs 2,18.30643160140852,46.078115506432624,HU,MAVIR,33846555.0,Polygon,Pécs 400/132 kV MAVIR alállomás,HU,400000;132000,MAVIR,,
Kisvarda,22.074692602300345,48.20188630149576,HU,MAVIR,289912792.0,Polygon,Kisvárda OVIT 220/132/25 kV MAVIR–MÁV alállomás,HU,220000;132000;25000,MAVIR;MÁV,,
Jozsa,21.51141452167433,47.61607867295489,HU,MAVIR,293340652.0,Polygon,Debrecen Józsa alállomás,HU,400000;132000,MAVIR,,
Gyor,17.69353919510682,47.67317579242793,HU,MAVIR,124244078.0,Polygon,Győr OVIT 400/220/132 kV MAVIR alállomás,HU,400000;220000;132000,MAVIR,,
God,19.162471390835982,47.69224259917039,HU,MAVIR,100872886.0,Polygon,Göd 400/220/132 kV MAVIR alállomás,HU,400000;220000;132000,MAVIR,,
Bicske Del,18.65306674961196,47.47302749228989,HU,MAVIR,254847446.0,Polygon,Bicske Dél Alállomás,HU,400000;132000,MAVIR,,
Oroszlany,18.26802984219656,47.502302441734834,HU,MAVIR,244038276.0,Polygon,Oroszlány 220/132 kV MAVIR alállomás,HU,220000;132000,MAVIR / Vértesi Erőmű,,
Albertirsa,19.58058961052992,47.22448555178197,HU,MAVIR,142109093.0,Polygon,Albertirsa 400 kV MAVIR alállomás,HU,400000,MAVIR,,
Zuglo,19.133272626871207,47.53165550393821,HU,MAVIR,9470706.0,MultiPolygon,Zugló 220/132 kV MAVIR alállomás,HU,220000;132000;10000,MAVIR;ELMŰ,,
Szombathely,16.679366460639443,47.23135829661653,HU,MAVIR,166155511.0,Polygon,Szombathely 400/132 kV MAVIR alállomás,HU,400000;132000,MAVIR,,
Szombathely 1,16.679366460639443,47.23135829661653,HU,MAVIR,166155511.0,Polygon,Szombathely 400/132 kV MAVIR alállomás,HU,400000;132000,MAVIR,,
Szigetcsep,18.943273973087862,47.27570791492139,HU,MAVIR,503615215.0,Polygon,Szigetcsép 400/132 kV MAVIR alállomás,HU,400000;132000,MAVIR,,
Tiszalok,21.303491424081624,48.02325613946898,HU,MAVIR,251018026.0,Polygon,Tiszalök MAVIR alállomás,HU,220000;132000,MAVIR,,
Liter,18.018338291880685,47.10709293169299,HU,MAVIR,65034002.0,Polygon,Litér alállomás,HU,400000;132000,MAVIR,,
Pecs 1,18.30643160140852,46.078115506432624,HU,MAVIR,33846555.0,Polygon,Pécs 400/132 kV MAVIR alállomás,HU,400000;132000,MAVIR,,
Gonyu,17.80487082817465,47.73441265002582,HU,MAVIR,142106943.0,Polygon,Gönyü 400kV MAVIR alállomás,HU,400000,MAVIR,,
Perkata,18.75394734999996,47.05271129999999,HU,MAVIR,325372656.0,Polygon,Perkáta 400/132 kV MAVIR alállomás,HU,400000;132000,MAVIR,,
Paks,18.858215636428188,46.57018986403191,HU,MAVIR,100788162.0,Polygon,Paks 400/132 kV MAVIR alállomás,HU,400000;132000,MAVIR,,
Szabolcsbaka,22.1674534644767,48.146220305221405,HU,MAVIR,859708761.0,Polygon,Szabolcsbáka 750/400 kV MAVIR alállomás,HU,750000;400000,MAVIR,,
Sajoivanka,20.590938846476764,48.26174033994116,HU,MAVIR,167896114.0,Polygon,Sajóivánka 400/132 kV MAVIR alállomás,HU,400000;132000,MAVIR,,
Buj,21.64366607892024,48.06467452229934,HU,MAVIR,986231091.0,Polygon,Buj alállomás,HU,400000,Mavir Zrt.,,
Szolnok,20.147962066669336,47.20531334345898,HU,MAVIR,252028146.0,Polygon,Szolnok OVIT 400/220/132/22 kV-os MAVIR alállomás,HU,400000;220000;132000;22000,MAVIR,,
Bekescsaba,21.01426776343557,46.70685390746823,HU,MAVIR,195168461.0,Polygon,Békéscsaba OVIT 400/132 kV MAVIR alállomás,HU,400000;132000,MAVIR,,
Kerepes,19.328065568199435,47.53598318016545,HU,MAVIR,464834617.0,Polygon,Kerepes 400/132 kV MAVIR alállomás,HU,400000;132000,MAVIR,,
Szombathely 2,16.679366460639443,47.23135829661653,HU,MAVIR,166155511.0,Polygon,Szombathely 400/132 kV MAVIR alállomás,HU,400000;132000,MAVIR,,
Detk,20.107450928233767,47.77376506083704,HU,MAVIR,251991299.0,Polygon,Detk 220/132 kV-os MAVIR alállomás,HU,220000;132000,MAVIR/Mátrai Erőmű,,
Toponar,17.836300454303043,46.41457426774776,HU,MAVIR,113570302.0,Polygon,Toponár 400/132 kV MAVIR alállomás,HU,400000;132000,MAVIR,,
Ocsa,19.206411732768068,47.3202175335064,HU,MAVIR,100844170.0,Polygon,Ócsa 220/132 kV MAVIR alállomás,HU,220000;132000,MAVIR,,
Felsozsolca,20.85356932476212,48.12090583849516,HU,MAVIR,155803703.0,Polygon,Felsőzsolca 400/132/35/22 kV MAVIR alállomás,HU,400000;132000;35000;22000,MAVIR,,
Sandorfalva,20.128398472246765,46.30634816913575,HU,MAVIR,100962927.0,Polygon,Sándorfalva 400/132 kV MAVIR alállomás,HU,400000;132000,MAVIR,,
Zakucac,16.702004590014255,43.455143078003246,HR,HOPS,59683455.0,Polygon,TS HE Zakučac,HR,220000,HOPS,,
Bilice,15.90320580641638,43.7563887629872,HR,HOPS,162022271.0,Polygon,TS Bilice,HR,220000,HEP,,
Plomin,14.166639020401664,45.13759095068813,HR,HOPS,210745193.0,Polygon,TS Plomin,HR,220000;110000,,,
Velebit,15.754697508916308,44.20739603205118,HR,HOPS,163860997.0,Polygon,TS Velebit,HR,400000,,,
Meduric,16.913620396857503,45.44808129393219,HR,HOPS,96704507.0,Polygon,TS Međurić,HR,220000;110000;35000,,,
Konjsko,16.501137760625255,43.60034628306173,HR,HOPS,43337263.0,Polygon,TS Konjsko,HR,400000;220000;110000,,,
TE Sisak,16.413784818458154,45.45249239916493,HR,HOPS,170366194.0,Polygon,TS TE Sisak,HR,220000;110000,,,
Mraclin,16.111931723789546,45.66744458983233,HR,HOPS,89819945.0,Polygon,TS Mraclin,HR,220000,,,
Melina,14.564047324517,45.31627413145602,HR,HOPS,89817617.0,Polygon,TS Melina,HR,400000,HEP,,
Senj,14.925104123285342,44.94270937489568,HR,HOPS,173272584.0,Polygon,TS HE Senj,HR,220000,,,
Zerjavinec,16.16273069829474,45.8760846741548,HR,HOPS,89820062.0,Polygon,TS Žerjavinec,HR,400000,,,
Tumbri,15.869315524690652,45.681494164982986,HR,HOPS,89818719.0,Polygon,TS Tumbri,HR,400000;110000,HEP,,
VE Padene,16.100797800000013,44.06449495000016,HR,HOPS,737067003.0,Polygon,TS Pađene,HR,33000;220000,,,
Ernestinovo,18.663329032177742,45.47318682879245,HR,HOPS,89823918.0,Polygon,TS Ernestinovo,HR,400000,HEP,,
Brinje,15.105266530164672,44.99299996569549,HR,HOPS,273326173.0,Polygon,RP Brinje,HR,220000,HEP,,
Pehlin,14.408791013493495,45.354799688351584,HR,HOPS,96722667.0,Polygon,TS Pehlin,HR,220000,,,
ROOST ,6.083459951697053,49.77641649213835,LU,Creos,91823933.0,Polygon,Roost,LU,220000;65000,,,
FLEBOUR ,6.114307027465442,49.90521500881797,LU,Creos,63089603.0,Polygon,Flebour,LU,220000;65000,,,
SCHIFFLANGE ,6.01888296174784,49.520842067754295,LU,Creos,33814365.0,Polygon,Schifflange,LU,220000;65000,Creos,,
BAULER,6.211020349982439,49.95862578002848,LU,Creos,89176939.0,Polygon,SA Bauler,DE,220000,Amprion,,"Manually corrected. In DE, but also in LU"
HEISDORF ,6.1397992204060605,49.66857630213514,LU,Creos,1042974725.0,Polygon,Heisdorf,LU,220000;65000;20000,Creos,,Duplicated OSM name: 1042974725 13319688 
QUINT,6.702285455777391,49.8289944442738,LU,Creos,151967291.0,Polygon,Station Quint,DE,220000;110000,Amprion; Westnetz,,"Manually corrected. In DE, but also in LU"
BERTRANGE ,6.03529260342793,49.60450384633605,LU,Creos,33814243.0,Polygon,Bertrange,LU,220000;65000;20000,,,
BERTRANGE,6.03529260342793,49.60450384633605,LU,Creos,33814243.0,Polygon,Bertrange,LU,220000;65000;20000,,,
FLEBOUR,6.114307027465442,49.90521500881797,LU,Creos,63089603.0,Polygon,Flebour,LU,220000;65000,,,
ROOST,6.083459951697053,49.77641649213835,LU,Creos,91823933.0,Polygon,Roost,LU,220000;65000,,,
BERCHEM ,6.139129615266771,49.55089121405385,LU,Creos,95233545.0,Polygon,Berchem,LU,220000,CREOS; SNCFL,,
TRIER,6.620535841524531,49.7489388079028,LU,Creos,145680894.0,Polygon,Station Trier,DE,220000,Amprion,,"Manually corrected. In DE, but also in LU"
BLOOREN ,6.179575974066955,49.59723113183391,LU,Creos,471787127.0,Polygon,Poste blindé d'Itzig/Blooren,LU,220000;65000;20000,creos,,
OXYLUX ,5.952202897976003,49.496926480243935,LU,Creos,362773746.0,Polygon,Poste Oxylux,LU,220000,Creos,,
Zeyerveen,6.52397500852322,53.00935325687387,NL,TENNET NL,87207800.0,Polygon,220 kV Zeijerveen,NL,220000;110000,TenneT,,
Maasvlakte,4.022624948372995,51.95562064469593,NL,TENNET NL,23135714.0,Polygon,380 kV Maasvlakte,NL,380000,TenneT,,
Eemshaven Oude Schip,6.862388314132649,53.43595916453304,NL,TENNET NL,129638950.0,Polygon,380 kV Eemshaven Oudeschip,NL,380000,TenneT,,
Eemshaven,6.874131201012804,53.42484849242661,NL,TENNET NL,89178675.0,Polygon,380 kV Eemshaven,NL,380000;220000,TenneT,,
Bleiswijk ,4.530380409752995,52.036224553440725,NL,TENNET NL,72888152.0,Polygon,380 kV Bleiswijk,NL,380000;150000,TenneT,,
Dodewaard,5.664012703753524,51.926895884516746,NL,TENNET NL,87792499.0,Polygon,380 kV Dodewaard,NL,380000,TenneT,,
Diemen,5.0144905794483545,52.33677348850624,NL,TENNET NL,934114405.0,Polygon,380 kV Diemen,NL,380000;150000,TenneT,,
Simonshaven,4.265958448045334,51.83935500270189,NL,TENNET NL,146901292.0,Polygon,380 kV Simonshaven,NL,380000,TenneT,,
Maasbracht,5.918538376096968,51.14844308929994,NL,TENNET NL,162176187.0,Polygon,380 kV Maasbracht,NL,380000,TenneT,,
Geertruidenberg,4.833142729425655,51.70077166754432,NL,TENNET NL,23096966.0,Polygon,380 kV Geertruidenberg,NL,380000,TenneT,,
Eemshaven ,6.874131201012804,53.42484849242661,NL,TENNET NL,89178675.0,Polygon,380 kV Eemshaven,NL,380000;220000,TenneT,,
Doekegat ,6.856757246646629,53.45111229024387,NL,TENNET NL,700846836.0,Polygon,380 kV Doekegat,NL,380000,TenneT,,
Vierverlaten,6.475187920022205,53.211372989998296,NL,TENNET NL,87342754.0,Polygon,220 kV Vierverlaten,NL,220000,TenneT,,
Oostzaan,4.876179972253846,52.42895926281712,NL,TENNET NL,22984334.0,Polygon,380 kV Oostzaan,NL,380000;150000,TenneT,,
Krimpen a/d IJssel,4.630590254964904,51.91439880153188,NL,TENNET NL,165242802.0,Polygon,380 kV Krimpen a/d IJssel,NL,380000,TenneT,,
Breukelen Kortrijk,4.987564850385728,52.16053223641526,NL,TENNET NL,480742730.0,Polygon,380 kV Breukelen Kortrijk,NL,380000,TenneT,,
Geertruidenberg ,4.833142729425655,51.70077166754432,NL,TENNET NL,23096966.0,Polygon,380 kV Geertruidenberg,NL,380000,TenneT,,
Borssele,3.727201903410419,51.43316524524093,NL,TENNET NL,739937233.0,Polygon,380 kV Borssele,NL,380000,TenneT,,
Wateringen,4.307034047870905,52.01603292997449,NL,TENNET NL,72888154.0,Polygon,380 kV Wateringen,NL,380000;150000,TenneT,,
Weiwerd,6.956747579336147,53.30338542562628,NL,TENNET NL,168037483.0,Polygon,220 kV Weiwerd,NL,220000;110000,TenneT,,
Eindhoven,5.53267904723604,51.446495733699614,NL,TENNET NL,162179284.0,Polygon,380 kV Eindhoven,NL,380000,TenneT,,
Boxmeer ,5.91313949268896,51.63859908145675,NL,TENNET NL,157902099.0,Polygon,380 kV Boxmeer,NL,380000;150000,TenneT,,
Robbenplaat,6.872957677393895,53.42446474118315,NL,TENNET NL,168039816.0,Polygon,220 kV Robbenplaat,NL,220000,TenneT,,
Doetinchem,6.251793473184375,51.981703497815765,NL,TENNET NL,723528920.0,Polygon,380 kV Doetinchem,NL,380000;150000,TenneT,,
Zwolle,6.190025591932109,52.529892811028446,NL,TENNET NL,87354306.0,Polygon,380 kV Zwolle,NL,380000,TenneT,,
Westerlee ,4.223936380608527,51.98245893524175,NL,TENNET NL,96382845.0,Polygon,380 kV Westerlee,NL,380000,TenneT,,
Ens,5.8093117557459255,52.6178527190537,NL,TENNET NL,87177559.0,Polygon,380 kV Ens,NL,380000;220000;110000,TenneT,,
Louwsmeer,5.8755996137153135,53.18955594211655,NL,TENNET NL,1099434374.0,Polygon,220 kV Louwsmeer,NL,220000,TenneT,,
Oudehaske,5.87136299827945,52.97329708019366,NL,TENNET NL,87358157.0,Polygon,220 kV Oudehaske,NL,220000;110000,TenneT,,
Eemshaven Oost,6.869705425108272,53.43000065272556,NL,TENNET NL,129638874.0,Polygon,220 kV Eemshaven Oost,NL,220000,TenneT,,
Lelystad ,5.538853258380368,52.57653867730826,NL,TENNET NL,87794279.0,Polygon,380 kV Lelystad,NL,380000;150000,TenneT,,
Bleiswijk,4.530380409752995,52.036224553440725,NL,TENNET NL,72888152.0,Polygon,380 kV Bleiswijk,NL,380000;150000,TenneT,,
Lelystad,5.538853258380368,52.57653867730826,NL,TENNET NL,87794279.0,Polygon,380 kV Lelystad,NL,380000;150000,TenneT,,
Bergum,6.028129702440523,53.21215916659747,NL,TENNET NL,87448656.0,Polygon,220 kV Bergum,NL,220000;110000,TenneT,,
Eemshaven het Hogeland,6.874131201012804,53.42484849242661,NL,TENNET NL,89178675.0,Polygon,380 kV Eemshaven,NL,380000;220000,TenneT,,
Hengelo,6.759177535690792,52.2488566944886,NL,TENNET NL,83423799.0,Polygon,380 kV Hengelo,NL,380000;110000,TenneT,,
Rilland,4.21871963968414,51.42385983025405,NL,TENNET NL,577158336.0,Polygon,380 kV Rilland,NL,380000,TenneT,,
Crayestein ,4.747961886945922,51.8137533651933,NL,TENNET NL,23135563.0,Polygon,380 kV Crayestein,NL,380000,TenneT,,
Hessenweg,6.187719767584395,52.53109159318879,NL,TENNET NL,87354307.0,Polygon,220 kV Hessenweg,NL,220000,TenneT,,
Beverwijk,4.679291315222623,52.47286560126129,NL,TENNET NL,308181656.0,Polygon,380 kV Beverwijk,NL,380000;150000,TenneT,,
Westerlee,4.223936380608527,51.98245893524175,NL,TENNET NL,96382845.0,Polygon,380 kV Westerlee,NL,380000,TenneT,,
Zwolle ,6.190025591932109,52.529892811028446,NL,TENNET NL,87354306.0,Polygon,380 kV Zwolle,NL,380000,TenneT,,
Bergum ,6.028129702440523,53.21215916659747,NL,TENNET NL,87448656.0,Polygon,220 kV Bergum,NL,220000;110000,TenneT,,
Eindhoven ,5.53267904723604,51.446495733699614,NL,TENNET NL,162179284.0,Polygon,380 kV Eindhoven,NL,380000,TenneT,,
Meeden,6.946177850535324,53.12400016159352,NL,TENNET NL,87342758.0,Polygon,220 kV Meeden,NL,220000;110000,TenneT,,Multiple matches
Vijfhuizen ,4.695275610576609,52.37368089115757,NL,TENNET NL,477949333.0,Polygon,380 kV Vijfhuizen,NL,380000,TenneT,,
LUBLIN,22.61619794404648,51.29811873561079,PL,PSE,148060965.0,Polygon,"Stacja elektroenergetyczna ""Lublin Systemowa"" 400/110kV",PL,400000;110000,PSE Operator; PGE Dystrybucja,,
STALOWA WOLA,22.07750066860762,50.55529632467815,PL,PSE,726776987.0,Polygon,Stacja elektroenergetyczna 220/110 kV Stalowa Wola,PL,220000;110000,PSE Operator,,
ZYDOWO KIERZKOWO,16.730579502880015,54.041438766128,PL,PSE,534238983.0,Polygon,Stacja elektroenergetyczna Żydowo Kierzkowo 400/110kV,PL,400000;110000,PSE Operator,,
SIEDLCE UJRZANOW,22.34398663283908,52.12970138155682,PL,PSE,255972397.0,Polygon,"Stacja elektroenergetyczna 400/110kV ""Siedlce Ujrzanów""",PL,400000;110000,PSE Operator oddział Warszawa,,
KLIKOWA,20.94501449745567,50.06379347170648,PL,PSE,191035265.0,Polygon,"Stacja elektroenergetyczna ""Klikowa"" 220/110 kV",PL,220000;110000,PSE,,
HALEMBA,18.852207500178853,50.23098712058343,PL,PSE,183259405.0,Polygon,"Stacja elektroenergetyczna ""Halemba"" 220/110kV",PL,220000;110000,,,
OLSZTYN-MATK,20.347969832710763,53.82734512222287,PL,PSE,101914781.0,Polygon,Stacja elektroenergetyczna „Olsztyn Mątki” 400/220/110 kV,PL,400000;220000;110000,PSE,,
JOACHIMOW,19.31664465190049,50.7600330919747,PL,PSE,241842600.0,Polygon,Stacja elektroenergetyczna „Joachimów” 400/220 kV,PL,400000;220000,PSE Operator,,
SLUPSK,16.89367155802104,54.50201236667886,PL,PSE,305265212.0,Polygon,"Stacja elektroenergetyczna 400/110kV ""Słupsk Wierzbięcin""",PL,400000;110000,PSE Operator,,Duplicated OSM name: 305265212 365677253 
JANOW,19.5614662776202,51.75770928151306,PL,PSE,35366436.0,Polygon,Stacja elektroenergetyczna „Janów” 220/110 kV,PL,220000;110000,PSE,,
OLSZTYN MATKI,20.347969832710763,53.82734512222287,PL,PSE,101914781.0,Polygon,Stacja elektroenergetyczna „Olsztyn Mątki” 400/220/110 kV,PL,400000;220000;110000,PSE,,
KRAJNIK,14.47590483347398,53.19603562013435,PL,PSE,39428977.0,Polygon,"Stacja elektroenergetyczna ""Krajnik"" 400/220 kV",PL,400000;220000,PSE Operator,,
ZGIERZ,19.383450608570108,51.83081583366591,PL,PSE,101982559.0,Polygon,Stacja elektroenergetyczna „Zgierz” 220/110 kV,PL,220000;110000,PSE Operator,,
GORZOW,15.268319615117502,52.747489817417886,PL,PSE,223873553.0,Polygon,"Stacja elektroenergetyczna ""Gorzów"" 220/110 kV",PL,220000;110000,PSE Operator,,Duplicated OSM name: 223873553 385539724 
JASINIEC,18.10777603223455,53.13552223339681,PL,PSE,46235456.0,Polygon,"Stacja elektroenergetyczna ""Jasiniec"" 220/110 kV",PL,220000;110000,PSE Operator; Enea Operator,,
OLTARZEW,20.74197075352406,52.22703334836731,PL,PSE,251239544.0,Polygon,"Stacja elektroenergetyczna ""Ołtarzew"" 400/220/110kV",PL,400000;220000;110000,PSE,,
BIERUN,19.169461941298948,50.08609308705204,PL,PSE,255232597.0,Polygon,"Stacja elektroenergetyczna ""Bieruń"" 220/110 kV",PL,220000;110000,PSE Operator,,
PABIANICE,19.367827006438542,51.67760334783373,PL,PSE,102165724.0,Polygon,"Stacja elektroenergetyczna ""Pabianice"" 220/110 kV",PL,220000;110000,PSE Operator,,
GLINKI,14.58113427412837,53.499911318090106,PL,PSE,40062974.0,Polygon,"Stacja elektroenergetyczna ""Glinki"" 220/110 kV",PL,220000;110000,PSE Operator; Enea Operator,,
POLANIEC,21.331951681625576,50.44263019862361,PL,PSE,199098053.0,Polygon,"Stacja elektroenergetyczna ""Połaniec"" 400/220/110kV",PL,400000;220000;110000;15000,PSE,,
CZERWONAK,16.977511070210657,52.47430922623426,PL,PSE,293484894.0,Polygon,"Stacja elektroenergetyczna ""Czerwonak"" 220/110 kV",PL,220000;110000,Enea Operator Sp. z o.o.,,
STANISLAWOW,21.5568219589888,52.26972047579434,PL,PSE,255973806.0,Polygon,"Stacja elektroenergetyczna 400kV ""Stanisławów""",PL,400000,,,
LUBOCZA,20.098810989292296,50.09585773250034,PL,PSE,87667718.0,Polygon,"Stacja elektroenergetyczna ""Lubocza"" 220/110kV",PL,220000;110000,PSE Operator,,
SWIEBODZICE,16.35205559307578,50.85425617326064,PL,PSE,179138441.0,Polygon,Stacja elektroenergetyczna 220/110kV „Świebodzice”,PL,220000;110000,TAURON Dystrybucja S.A.,,Multiple matches
OSTROLEKA,21.62328907325667,53.10695732515023,PL,PSE,121656686.0,Polygon,"Stacja elektroenergetyczna 400/220/110kV ""Ostrołęka""",PL,400000;220000;110000,PSE,,
MOSCISKA,20.881308841998774,52.29062984608196,PL,PSE,91384044.0,Polygon,"Stacja elektroenergetyczna ""Mościska"" 400/110 kV",PL,400000;110000,PSE Operator,,
DUNOWO,16.09578068682926,54.12665282156059,PL,PSE,175406958.0,Polygon,"Stacja elektroenergetyczna ""Dunowo"" 400/220/110 kV",PL,400000;220000;110000,PSE Operator / Energa,,
SIERSZA,19.464738003934208,50.20892061436368,PL,PSE,9399771.0,MultiPolygon,Stacja elektroenergetyczna „Siersza” 220/110kV,PL,220000;110000,PSE Operator,,
