cluster_0,cluster_1,name_0,name_1,voltage_kv,egon_segments,egon_max_cables,egon_circuits,jao_single_hop,jao_multi_hop,jao_total_traversals,diff_vs_single,diff_vs_total,egon_length_km,cables_detail,sh_names,mh_names
osm_24262656,osm_28343121,Wahle 380 kV,Stadorf,380.0,2,3,1,2,0,2,-1.0,-1.0,171.6,"[3, 3]",Wahle - Stadorf 1; Wahle - Stadorf 2,
osm_24413992,osm_27739871,Grohnde,Landesbergen,380.0,1,3,1,2,0,2,-1.0,-1.0,72.5,[3],Landesbergen - Grohnde 1; Landesbergen - Grohnde 2,
osm_24502420,osm_31927411,Umspannwerk Dollern,Alfstedt,380.0,2,3,1,2,0,2,-1.0,-1.0,64.4,"[3, 3]",Y-Alfstedt (-Dollern - Elsfleth/W) schwarz; Y-Alfstedt (-Dollern - Farge) blau,
osm_24839976,osm_26927264,Umspannwerk Rommerskirchen,Station Paffendorf,380.0,1,3,1,2,0,2,-1.0,-1.0,8.4,[3],Paffendorf - Rommerskirchen PAFFEN N ; Paffendorf - Rommerskirchen PAFFEN S ,
osm_254326606,spatial_13654,Umspannwerk Bruchsal-Kändelweg,spatial_13654,380.0,2,3,1,2,0,2,-1.0,-1.0,6.3,"[3, 3]",Y-Bruchsal (- Philippsburg - Pulverdingen) ws; Y-Bruchsal/Kaendelweg (-Philippsburg - Pulverdingen) rt,
osm_25943440,osm_957746797,Elsen,Bechterdissen,380.0,1,3,1,2,0,2,-1.0,-1.0,30.5,[3],Bechterdissen - Elsen 2; Bechterdissen - Elsen 1,
osm_26472665,osm_26474759,Umspannwerk Wolmirstedt,Umspannwerk Helmstedt,380.0,1,3,1,2,0,2,-1.0,-1.0,48.3,[3],Helmstedt - Wolmirstedt 492; Helmstedt - Wolmirstedt 491,
osm_26593929,osm_32675761,Station Oberzier,Station Dahlem,380.0,2,3,1,2,0,2,-1.0,-1.0,119.8,"[3, 3]",Y-Oberzier (-Dahlem - Rommersheim) SELHN O ; Y-Oberzier (-Dahlem - Niederstedem) SELHN W ,
osm_26593929,spatial_2495,Station Oberzier,spatial_2495,380.0,1,3,1,2,0,2,-1.0,-1.0,15.7,[3],Y-Oberzier (-Paffendorf - Sechtem) SECHTM N ; Y-Oberzier (-Paffendorf - Sechtem) SECHTM S ,
osm_26814283,osm_42736239,Umspannwerk Oberjettingen,Umspannwerk Engstlatt,380.0,1,3,1,2,0,2,-1.0,-1.0,32.6,[3],Engstlatt - Oberjettingen ws; Y-Engstlatt (-Oberjettingen - Pulverdingen) rt,
osm_26927264,spatial_2495,Station Paffendorf,spatial_2495,380.0,1,3,1,2,0,2,-1.0,-1.0,10.5,[3],Y-Paffendorf (-Oberzier - Sechtem) SECHTM N ; Y-Paffendorf (-Oberzier - Sechtem) SECHTM S ,
osm_289836713,osm_30622610,Umspannwerk Süderdonn,Umspannwerk Kernkraftwerk Brunsbüttel,380.0,1,3,1,2,0,2,-1.0,-1.0,13.2,[3],Brunsbuettel - Suederdonn blau; Brunsbuettel - Suederdonn gelb,
osm_301158539,osm_449010725,Jardelund,Umspannwerk Handewitt,380.0,1,3,1,2,0,2,-1.0,-1.0,15.9,[3],Handewitt - Jardelund gruen; Handewitt - Jardelund blau,
osm_30164703,osm_941198517,Umspannwerk Graustein,Umspannwerk Preilack,380.0,2,3,1,2,0,2,-1.0,-1.0,122.9,"[3, 3]",Graustein - Preilack 541; Graustein - Preilack 542,
osm_30303506,osm_30954714,Umspannwerk Mitte,Umspannwerk Friedrichshain,380.0,1,3,1,2,0,2,-1.0,-1.0,6.6,[3],Friedrichshain - Mitte 919; Friedrichshain - Mitte 920,
osm_32076853,osm_829116805,Unterweser,Schaltanlage Elsfleth/West,380.0,1,3,1,2,0,2,-1.0,-1.0,27.1,[3],Elsfleth/W - Unterweser rot; Unterweser - Elsfleth/W weiss,
osm_41072584,spatial_669,Waldeck,spatial_669,380.0,1,3,1,2,0,2,-1.0,-1.0,3.4,[3],Y-Waldeck (-Waldeck - Borken - Twistetal) 3; Y-Waldeck (-Waldeck - Borken - Twistetal) 2,
osm_414169327,spatial_12587,Umspannwerk Heinersdorf,spatial_12587,380.0,2,3,1,2,0,2,-1.0,-1.0,90.4,"[3, 3]",Eisenhüttenstadt (Abzweig) - Heinersdorf (Abzweig) 547-4; Eisenhüttenstadt (Abzweig) - Heinersdorf (Abzweig) 548-4,
osm_42488850,spatial_10424,Umspannungsanlage Uentrop,spatial_10424,380.0,2,3,1,2,0,2,-1.0,-1.0,1.7,"[3, 3]",Y-Uentrop (-Geithe - Lippborg) GEITHE W ; Y-Uentrop (-Kruckel - Lippborg) HAARST O ,
osm_42488850,spatial_8879,Umspannungsanlage Uentrop,spatial_8879,380.0,2,3,1,2,2,4,-1.0,-3.0,28.8,"[3, 3]",Y-Uentrop (-Gersteinwerk - Guetersloh) GERSTE O ; Y-Uentrop (-Gersteinwerk - Hanekenfaehr) UENTRO N ,Y-Uentrop (-Enniger - Guetersloh) GUETER S ; Roxel - Uentrop UENTRO S 
osm_42488855,spatial_10424,Station Lippborg,spatial_10424,380.0,1,3,1,2,0,2,-1.0,-1.0,0.4,[3],Y-Lippborg (-Geithe - Uentrop) GEITHE W ; Y-Lippborg (-Kruckel - Uentrop) HAARST O ,
osm_460134233,osm_941453716,Umspannwerk Lubmin,Umspannwerk Siedenbrünzow,380.0,2,3,1,2,0,2,-1.0,-1.0,111.3,"[3, 3]",Lubmin - Siedenbrünzow 509; Lubmin - Siedenbrünzow 510,
osm_48057110,spatial_13654,Philippsburg,spatial_13654,380.0,2,3,1,2,0,2,-1.0,-1.0,31.1,"[3, 3]",Y-Philippsburg (-Bruchsal - Pulverdingen) ws; Y-Philippsburg (-Bruchsal/Kaendelweg - Pulverdingen) rt,
osm_52983550,spatial_12587,Eisenhüttenstadt,spatial_12587,380.0,2,3,1,2,0,2,-1.0,-1.0,14.8,"[3, 3]",Eisenhüttenstadt (Abzweig) - Eisenhüttenstadt 547-2; Eisenhüttenstadt (Abzweig) - Eisenhüttenstadt 548-2,
osm_59026005,osm_941805476,Umspannwerk Hagenwerder,Umspannwerk Schmölln,380.0,2,3,1,2,0,2,-1.0,-1.0,112.6,"[3, 3]",Hagenwerder - Schmölln 553; Hagenwerder - Schmölln 554,
osm_940922557,osm_941198517,Umspannwerk Ragow,Umspannwerk Preilack,380.0,2,3,1,2,0,2,-1.0,-1.0,85.4,"[3, 3]",Ragow - Preilack 539; Ragow - Preilack 540,
osm_941198517,spatial_12587,Umspannwerk Preilack,spatial_12587,380.0,2,3,1,2,0,2,-1.0,-1.0,76.5,"[3, 3]",Eisenhüttenstadt (Abzweig) - Preilack 547-1; Eisenhüttenstadt (Abzweig) - Preilack 548-1,
osm_941805476,osm_942771541,Umspannwerk Schmölln,Umspannwerk Dresden Süd,380.0,1,3,1,2,0,2,-1.0,-1.0,35.5,[3],Schmölln - Dresden/Süd 555; Schmölln - Dresden/Süd 556,
osm_26383042,osm_39229429,Station Gütersloh,Station Hesseln,380.0,1,6,2,1,0,1,1.0,1.0,19.7,[6],Guetersloh - Hesseln OSNING O,
osm_59925390,spatial_2394,Station Karnap,spatial_2394,380.0,1,6,2,1,0,1,1.0,1.0,0.9,[6],Y-Karnap (-Buescherhof - Rosenblumendelle) BUESHR W ,
